Denumire,Pret,Stoc,Link,Poza,Descriere
"Fulgi de drojdie inactiva bio 100g Dragon Superfoods","38.97","instock","www.natur.ro/fulgi-de-drojdie-inactiva-eco-100g.html","https://www.natur.ro/ImaginiProduse/f56e7407-be3c-4c2d-86d9-a15e3604b963/nutritionalyeast_93e01036-01a1-4fb9-b0c3-34a99ce0439f.jpeg","Fulgi de drojdie inactiva bio 100gFulgii de drojdie inactiva sunt folositi pentru aportul de vitamine B, dar si ca substitut de branza in unele produse vegane.Sugestie de folosire:&nbsp;2 linguri pe zi in cereale la micul dejun, in smoothies.Ingrediente:&nbsp;fulgi de drojdie*, faina de&nbsp;GRAU*, sare de mare.*din agricultura ecologicaAlergeni:&nbsp;vezi ingrediente cu majuscule. Contine gluten.&nbsp;Valori nutritionale/100g:Energie: 1445kJ/ 343kcalGrasimi: 4.1g din care saturate 0.8gCarbohidrati: 39g din care zaharuri 2.2gFibre: 17gProteine: 29gSaruri: 0.97gConditii de pastrare:&nbsp;A se pastra intr-un loc racoros, uscat si intunecat.&nbsp;Produs certificat ecologicTara de origine:&nbsp;Germania100g"
"Faina alba de grau tip 550 bio 1kg Dennree","11.68","instock","www.natur.ro/C4FD87FC-9621-44D2-9A3C-6B6C3F1E8124.html","https://www.natur.ro/ImaginiProduse/c4fd87fc-9621-44d2-9a3c-6b6c3f1e8124/Fainaalbadegrautip550bio1kgDennree_0affe1d4-e45e-4cb0-bd17-de22e6d85f2e.jpeg","Faina alba de grau tip 550 bio 1 kg, Dennree-vegan, bio-Ingrediente: faina de GRAU**din agricultura ecologicaAlergeni: vezi ingredientele cu majuscule. Poate contine urme de soia, mustar sau lupin.&nbsp;Valori nutritionale/100g: Energie: 1474kj/ 352 KcalGrasimi: 1.1g din care acizi grasi saturati 0.2gGlucide: 72g din care zaharuri 1.1gProteine: 11gSaruri: &lt; 0.01gProdus certificat ecologicTara de origine: Germania1kg"
"Drojdie uscata activa bio 3buc x 9g 27g Dennree","13.95","instock","www.natur.ro/FBE3E393-5592-426C-8183-64C75E5B1E3C.html","https://www.natur.ro/ImaginiProduse/fbe3e393-5592-426c-8183-64c75e5b1e3c/Drojdieuscataactivabio3x9gDennree_76389b0e-299c-4d92-a9e8-151c1a5f1bcb.jpeg","Drojdie uscata activa bio 3x9g DennreeSe foloseste la pizza, paine, oriunde e nevoie de drojdie activa.&nbsp;Un pachet contine 3 plicuri a cate 9 grame fiecare.Ingrediente: drojdie**din agricultura ecologicaProdus certificat bioFabricat in Germania&nbsp;"
"Bicarbonat de sodiu 500g Naturmind","14.35","instock","www.natur.ro/7798C4B7-94D1-486B-A998-EC5CACC5A25D.html","https://www.natur.ro/ImaginiProduse/7798c4b7-94d1-486b-a998-ec5cacc5a25d/SzodaBikarbona_3c315962-ecff-4d8d-90ac-84260e906615.jpg","Bicarbonat de Sodiu 500g, NaturmindFolosit pe scara larga, in patiserie, brutarii. De asemenea ca si agent alcalinizant in cazul aciditatii stomacale.&nbsp;Se foloseste si extern pentru curatenie, sau pentru baie la picioare.Ingrediente: 100% bicarbonat de sodiu.Nu contine aluminiu.Fabricat in Ungaria500g"
"Inlocuitor pentru oua bio 40g Nat-ali","14.57","notinstock","www.natur.ro/5A3F4227-9B84-436C-8167-9203EE7A4601.html","https://www.natur.ro/ImaginiProduse/5a3f4227-9b84-436c-8167-9203ee7a4601/Inlocuitorveganpentruouabio40gNatali_9631d8c6-d4a0-48a0-ad46-6b3b328cae48.jpeg","Inlocuitor vegan pentru oua, bio, 40g, Nat-aliPreparat de legume praf care inlocuieste functionalitatea intregului ou in retete dulci (tarte, clatite etc.) sau retete sarate. Nu este potrivit pentru a face omlete.Acest plic contine o alternativa pentru echivalentul a aproximativ 4 oua intregi.Pentru a inlocui 1 ou intreg: 10 g de pulbere pentru 40 ml de apaIngrediente:&nbsp;Faina de LUPIN*, amidon de fasole*, agen?i de cre?tere: bicarbonat de sodiu, acid tartric.*din agricultura ecologicaMod de preparare:&nbsp;Ingrediente de adaugat:&nbsp;40 ml apaSe amesteca pulberea cu apa. Adaugati celelalte ingrediente lichide in reteta si amestecati pentru a obtine un amestec spumos. Adaugati ingredientele uscate din reteta si amestecati pana obtineti un amestec omogen. Uneori este necesar sa mariti timpul de gatire al retetelor, aveti grija la gatit!SFAT: pentru o textura mai moale, inlocuiti apa cu apa minerala.40g (continutul unui plic) = 4 oua intregiValori nutritionale per 100g:Energie: 1267 kj / 304 kcalGrasimi: 9.5g din care saturate 1.2gCarbohidrati: 8.6g din care zaharuri 7.6gProteine: 35gSaruri: 2.2gAlergeni:&nbsp;Vezi ingredientele cu majuscule. Poate contine urme de gluten, soia.Conditii de pastrare:&nbsp;A se pastra la temperatura camerei, in loc uscat.Produs certificat ecologic.Gramaj:&nbsp;40gProdus in Franta"
"Drojdie de panificatie uscata bio 54g Nat-ali","44.49","instock","www.natur.ro/7A518D02-A000-4AF6-8A0C-25DF25B9CDD5.html","https://www.natur.ro/ImaginiProduse/7a518d02-a000-4af6-8a0c-25df25b9cdd5/Drojdiedepanificatieuscatabio54gNatali_83e919f2-88bf-4f0b-b418-ceb5bef115b1.jpeg","Drojdie de panificatie uscata, bio, 54g, Nat-aliDrojdia de panificatie uscata NATALI poate fi folosita pentru toate tipurile de aluat pentru care puteti folosi si drojdie proaspata.Ideal pentru a face paine, baghete, aluat de pizza, briose si alte produse de patiserie.54g (continutul unui plic) = 6 paini de 500gIngrediente:&nbsp;Drojdie instant de panificatie uscata* (saccharomyces cerevisiae).*din agricultura ecologicaMod de preparare:&nbsp;Se rehidrateaza cu apa calduta sau lapte (max 35&deg;C) in urmatoarele proportii: o parte drojdie la 5 parti apa sau lapte.Dispersati drojdia uscata in apa calduta (sau lapte), amestecand usor pentru a permite drojdia sa se dizolve corect.Doza recomandata: 9 g pentru 500 g de faina.Conditii de pastrare:&nbsp;Pastrati pulberea la temperatura camerei intr-un loc uscat. Dupa deschidere se pastreaza la frigider maxim 1 luna, intr-un borcan sau in ambalajul original, bine inchis.Produs certificat ecologic.Garantat fara OMG si fara tratament de ionizare in conformitate cu reglementarile CE 834/2007 si 889/2008 referitoare la productia si etichetarea produselor ecologice.Garantat fara OMG si fara tratament de ionizare in conformitate cu reglementarile CE 834/2007 si 889/2008 referitoare la productia si etichetarea produselor ecologice.Gramaj:&nbsp;54gProdus in Franta"
"Praf de copt bio 2 buc x 7g 14g Nat-ali","4.06","instock","www.natur.ro/9D12FDFF-EA09-4D3B-971A-85B299A1CA83.html","https://www.natur.ro/ImaginiProduse/9d12fdff-ea09-4d3b-971a-85b299a1ca83/Prafdecoptbio2x7gNatali_b2e88efa-fa25-42bf-a10e-97fdd047e4cb.jpeg","Praf de copt, bio, 2x 7g, Nat-aliFara gluten, fara fosfatAluatul creste prin simpla reactie naturala a ingredientelor atunci cand acestea sunt asezate in anumite conditii de umiditate si caldura. Bicarbonatul de sodiu face ca aluatul sa creasca prin eliberarea de dioxid de carbon. Acidul tartric activeaza eliberarea de dioxid de carbon; se obtine din drojdia si tescovina vinurilor din distilerie. Amidonul de porumb, o baza neutra, pastreaza proprietatile fiecarui ingredient.7g (continutul unui plic) = pentru 250g de fainaIngrediente:&nbsp;Amidon de porumb*, agenti de crestere: bicarbonat de sodiu, acid tartric.*din agricultura ecologicaMod de preparare:&nbsp;Se amesteca uscat praful de copt cu o parte din faina pentru o mai buna distributie.Doza recomandata: 7g pentru 250g de faina.Conditii de pastrare:&nbsp;A se pastra la temperatura camerei intr-un loc uscat.Produs certificat ecologic.PLANET SCORE (https://www.planet-score.org/) - A&nbsp;&nbsp;&nbsp;Planet Score masoara impactul asupra mediului al produsului pe criterii de pesticide, biodiversitate si impact asupra climei.Gramaj:&nbsp;2x 7gProdus in Franta"
"Praf de copt bio 50g Nat-ali","11.54","instock","www.natur.ro/E47DE66E-10D5-4FD9-A1D3-C768403CEBFD.html","https://www.natur.ro/ImaginiProduse/e47de66e-10d5-4fd9-a1d3-c768403cebfd/Prafdecoptbio50gNatali_2702a84f-dc68-43a9-b29e-4ed0e849edfd.jpeg","Praf de copt, bio, 50g, Nat-aliFara gluten, fara fosfatAluatul creste prin simpla reactie naturala a ingredientelor atunci cand acestea sunt asezate in anumite conditii de umiditate si caldura. Bicarbonatul de sodiu face ca aluatul sa creasca prin eliberarea de dioxid de carbon. Acidul tartric activeaza eliberarea de dioxid de carbon; se obtine din drojdia si tescovina vinurilor din distilerie. Amidonul de porumb, o baza neutra, pastreaza proprietatile fiecarui ingredient.Ingrediente:&nbsp;Amidon de porumb*, agenti de crestere: bicarbonat de sodiu, acid tartric.*din agricultura ecologicaMod de preparare:&nbsp;Se amesteca uscat praful de copt cu o parte din faina pentru o mai buna distributie.Doza recomandata: 7g pentru 250g de faina.Conditii de pastrare:&nbsp;A se pastra la temperatura camerei intr-un loc uscat.Produs certificat ecologic.PLANET SCORE (https://www.planet-score.org/) - A&nbsp;&nbsp;&nbsp;Planet Score masoara impactul asupra mediului al produsului pe criterii de pesticide, biodiversitate si impact asupra climei.Gramaj:&nbsp;50gProdus in Franta"
"Faina de migdale bio 200g Smaakt","55.05","instock","www.natur.ro/F4DCC95F-2E63-4AB9-B6B3-468E90938474.html","https://www.natur.ro/ImaginiProduse/f4dcc95f-2e63-4ab9-b6b3-468e90938474/fainademigdale_8772073b-dc57-4369-9592-c88f10126831.png","Faina de migdale bio 200g SmaaktFaina proteica, potrivita pentru dieta keto, contine 22g proteine.Ingrediente: MIGDALE**din agricultura ecologicaValori nutritionale/100g:Energie: 2619kj / 633kcalGrasimi: 52g din care saturate 4.2gCarbohidrati: 16g din care zaharuri 4.5gFibre: 11gProteine: 22gSaruri: 0.07gProdus certificat ecologic200gPRODUS IN OLANDA&nbsp;"
"Praf de copt bio 150g Smaakt","35.07","instock","www.natur.ro/4FBDFA5D-8012-4DF2-B47E-CF3BA711ECF8.html","https://www.natur.ro/ImaginiProduse/4fbdfa5d-8012-4df2-b47e-cf3ba711ecf8/prafdecopt_c3bcc0a9-a1fb-4c43-8f69-60f331ea47c8.png","Praf de copt bio 150g Smaakt&nbsp;Ingrediente: amidon din porumb*, bitartrat de potasiu*, bicarbonat de sodiu.*din agricultura ecologicaValori nutritionale/100g:Energie: 748kJ/ 176kcalGrasimi: 0g din care saturate 0gCarbohidrati: 44g din care zaharuri 0gFibre: 0gProteine: 0gSaruri: 18gUn agent de crestere clasic, care se poate folosi in patiserie pentru cresterea si afanarea prajiturilor, fursecurilor si a alor produse asemanatoare.Produs potrivit pentru persoanele vegane, vegetariene.Produs certificat bioGramaj: 150g"
"Tarate de ovaz bio 500g Davert","33.17","instock","www.natur.ro/tarate-de-ovaz-bio-500g-davert.html","https://www.natur.ro/ImaginiProduse/d4283970-ccfb-49ac-a0ea-accb2abb221a/taratedeovaz500g86619_8cdb5427-095b-4422-99c9-740425571550.jpg","Tarate de ovaz bio 500g DAVERTTarate de ovaz ecologic, certificat bio.Ingrediente:&nbsp;OVAZ**din agricultura ecologicaValori nutritionale/100g:Energie:1491kj / 355 kcalGrasimi: 8.2g din care saturate 1.6gCarbohidrati: 47.6g din care zaharuri 1.8gFibre: 0gProteine: 16.6g&nbsp;Alergeni:Poate contine urme de: nuci, susan, caju,soiaMod de depozitare:A se pastra la loc uscat si racoros.Tara de origine:&nbsp;Germania&nbsp;500G"
"Faina din samburi de struguri bio 140g Raab","43.22","instock","www.natur.ro/faina-din-samburi-de-struguri-bio-140g-raab.html","https://www.natur.ro/ImaginiProduse/e1e53356-f488-4ecd-888b-47975935ba82/traubenkernmehlbio140gpulverv21_e1060445-4886-43e4-951e-c4467756d7fd.jpg","Faina din samburi de struguri bio 140g RAABFaina de samburi de struguri se obtine prin macinarea samburilor de struguri dupa extragerea uleiului. Datorita faptului ca uleiul este extras la rece, si macinarea se face tot la rece, faina din samburi de struguri pastreaza proprietati antioxidante excelente, avand 3.7g de OPC (oligomeric proanthocyanidin, un puternic antioxidant natural) la 100g de faina.Ingrediente: 100% faina din samburi de struguri**din agricultura ecologicaSugestie de folosire: adaugata in smoothies, iaurt, musli, supe, deserturi, in paine, pizza, etc.Valori nutritionale/100g:Energie: 1193 kj / 285 kcalGrasimi: 2.2g din care saturate 0.6gCarbohidrati: 22g din care zaharuri 3gFibre: 61gProteine: 13gSaruri: 0.05gFabricat in GermaniaProdus certificat ecologic140g"
"Bicarbonat de sodiu alimentar 20 pliculete x 10g Soda","26.82","instock","www.natur.ro/AD90171B-D13C-4D65-8B38-538ACA6C6643.html","https://www.natur.ro/ImaginiProduse/ad90171b-d13c-4d65-8b38-538aca6c6643/4779043780458_a476eb7e-88c3-45e0-b013-b8c91979498e.png","Bicarbonat de sodiu alimentar, 20 pliculete x 10g, SodaBicarbonatul de sodiu face&nbsp;produsele de patiserie mai pufoase, ajutandu-le sa creasca uniform si sa isi mentina o textura moale. De asemenea, este folosit in spalarea si curatarea fructelor si legumelor de murdarie, ceara si pesticide.Asistent in preparate culinare:- Pentru a face o omleta pufoasa si frageda - bateti ouale si adaugati un praf de bicarbonat de sodiu, apoi turnati in tigaie si gatiti omleta.&nbsp;&nbsp;- Indeparteaza pesticidele, ceara si murdaria din fructe si legume - adaugati 1l de apa intr-un vas, bicarbonat de sodiu si legumele/fructele - asteptati 15-20 de minute, apoi clatiti bine.&nbsp;- Reduce sau elimina mirosurile alimentare specifice (peste, creveti, miel)- Pastreaza carnea frageda- Elimina mirosul neplacut din buretii de bucatarie- Dezinfecteaza tocatorul de bucatarie- Poate inlocui praful de copt sau drojdia&nbsp;Ingrediente:&nbsp;100% bicarbonat de sodiuConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros, intr-un recipient bine inchis.&nbsp;Tara de origine:&nbsp;Bosnia si Hertegovina, Turcia si UEGramaj:&nbsp;200g (20 bucati x 10g)"
"Bicarbonat de sodiu universal 500g Soda","16.12","instock","www.natur.ro/522BEF3B-28A5-4A2F-B5BC-FDA1BE20B1E2.html","https://www.natur.ro/ImaginiProduse/522bef3b-28a5-4a2f-b5bc-fda1be20b1e2/4779043780106_f71f1cb3-6a02-482a-99d4-ce4045659332.png","Bicarbonat de sodiu universal, 500g, SodaBicarbonat de sodiu universal intr-un ambalaj reutilizabil, care protejeaza produsul impotriva umezelii.Bicarbonatul de sodiu face&nbsp;produsele de patiserie mai pufoase, ajutandu-le sa creasca uniform si sa isi mentina o textura moale. De asemenea, este folosit in spalarea si curatarea fructelor si legumelor de murdarie, ceara si pesticide.Asistent in preparate culinare:- Pentru a face o omleta pufoasa si frageda - bateti ouale si adaugati un praf de bicarbonat de sodiu, apoi turnati compozitia in tigaie si gatiti.&nbsp;&nbsp;- Indeparteaza pesticidele, ceara si murdaria din fructe si legume - adaugati 1l de apa intr-un vas, bicarbonat de sodiu si legumele/fructele - asteptati 15-20 de minute, apoi clatiti bine.&nbsp;- Reduce sau elimina mirosurile alimentare specifice (peste, creveti, miel)- Pastreaza carnea frageda- Elimina mirosul neplacut din buretii de bucatarie- Dezinfecteaza tocatorul de bucatarie- Poate inlocui praful de copt sau drojdia&nbsp;Ingrediente:&nbsp;100% bicarbonat de sodiuConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros, intr-un recipient bine inchis.&nbsp;Tara de origine:&nbsp;Bosnia si Hertegovina, Turcia si UEGramaj:&nbsp;500g"
"Bicarbonat de sodiu 1kg Mix Brands","21.34","instock","www.natur.ro/583F0D41-83B5-4BB4-A2A1-B6A4BE5C099F.html","https://www.natur.ro/ImaginiProduse/583f0d41-83b5-4bb4-a2a1-b6a4be5c099f/Bicarbonatdesodiu1kgMixBrands_f2f7934e-7f65-4d70-b7c8-46cb26c97e72.jpeg","Bicarbonat de sodiu, 1 kg, Mix BrandsBicarbonatul de sodiu are multiple intrebuintari in gospodarie, atat in preparate culinare ca aditiv alimentar, cat si utilizat extern pentru a curata diverse suprafete sau chiar pe post de balsam de rufe.Ingrediente: 100% bicarbonat de sodiu.A nu se lasa la indemana copiilor.&nbsp;Tara de origine: Turcia."
"Fulgi de drojdie inactiva 500g Big Nature","84.93","instock","www.natur.ro/DDCE9AA2-E0C2-4EDF-9A6A-AC6A0212FF04.html","https://www.natur.ro/ImaginiProduse/ddce9aa2-e0c2-4edf-9a6a-ac6a0212ff04/Fulgidedrojdieinactiva500gBigNature_3d7f3685-38d2-40b5-afcb-2e4204bca2b7.jpeg","Fulgi de drojdie inactiva 500g Big NatureDrojdia inactiva se numara printre alimentele cu cel mai ridicat continut de Vitamine din grupul de Vitamine B. Veganii o folosesc pentru aportul de Vitamina B12, dar si pentru gustul sau ce aduce usor a branza atunci cand este presarata pe salate.Puteti adauga fulgi de drojdie in apa, lapte, cereale la micul dejun, in prajituri, smoothies, iaurt, salate, etc.Ingrediente:&nbsp;100% fulgi de drojdie inactivaAlergeni:&nbsp;Produs ambalat intr-o unitate unde se proceseaza si seminte de mustar, gluten, nuci, susan si telina.Valori nutritionale/100g:Energie: 1405Kj/ 335KcalGrasimi: 5g din care saturate1.75gCarbohidrati: 28g din care zaharuri 3gProteine: 46.9gFibre: 19.5gSaruri: 0.02gProdus naturalProdus achizitionat din Polonia.&nbsp;Tara de origine:&nbsp;ChinaGramaj:&nbsp;500g"
"Faina de cocos bio 1.1kg Big Nature","43.36","instock","www.natur.ro/031A934E-7436-43F8-B102-360EF1421475.html","https://www.natur.ro/ImaginiProduse/031a934e-7436-43f8-b102-360ef1421475/Fainadecocosbio1100gBigNature_dd81b20d-ac27-4307-892d-da98e82dd23f.jpeg","Faina de cocos bio, 1100g Big NatureO faina fara gluten, se foloseste in patiserie, ca inlocuitor total sau partial de faina de grau.&nbsp;Ingrediente: cocos**din agricultura ecologica&nbsp;Produs ambalat intr-o unitate unde se proceseaza si seminte de mustar, gluten, nuci, susan si telina.Valori nutritionale/100g: Energie: 1742Kj/ 416KcalGrasimi: 13.95g din care saturate 2.218gCarbohidrati: 58.82g din care zaharuri 20.68gProteine: 15.55gFibre: 6.2gSaruri: 0.19gTara de origine: IndoneziaGramaj: 1100g"
"Maia uscata din einkorn bio 2 buc x 50g 100g Naturgold","27.38","instock","www.natur.ro/FBC447AE-A05E-4342-A270-74C861F15AD7.html","https://www.natur.ro/ImaginiProduse/fbc447ae-a05e-4342-a270-74c861f15ad7/5999862236151_c939703d-1c6c-47df-973e-e1fa4a5db427.jpg","Maia uscata din einkorn bio 2 buc x 50g 100g NaturgoldInlocuitorul perfect pentru drojdie, maia din grau Einkorn este alegerea ideala pentru un aluat sanatos si gustos. Faina de einkorn este pusa la fermentat impreuna cu acidul lactic si drojdia (doar prima fermentare, dupa aceasta maia se poate utiliza de la un aluat la altul asa cum este), iar dupa 5-10 zile se formeaza maia. Aceasta este apoi uscata.&nbsp;Ingrediente:&nbsp;faina integrala de&nbsp;GRAU&nbsp;EINKORN*, concentrat de ferment de&nbsp;EINKORN*, drojdie.*din agricultrua ecologicaAlergeni:&nbsp;Vezi ingrediente cu majuscule (contine gluten).&nbsp;Valori nutritionale/100g:Energie: 1501Kj/ 355KcalGrasimi: 2.8g din care saturate 0.42gCarbohidrati: 67.7g din care zaharuri 0.35gProteine: 11.4gFibre: 6.6gSaruri: &lt;0.005gMod de folosire:&nbsp;Pasul 1: intr-un vas se amesteca continutul unui plic cu 500g faina, 10g de sare si 500ml de apa;Pasul 2: aluatul se lasa la dospit, la temperatura camerei, timp de 4-12 ore intr-un vas acoperit;Pasul 3: puneti aluatul intr-o tava de copt;Pasul 4: coaceti painea intr-un cuptorpreincalzit la 180&deg;C timp de 60 de minute, Apoi scoateti-o din tava si lasati-o sa se raceasca.&nbsp;Conditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros, in ambalaj bine inchis.&nbsp;Agricultura UEGramaj:&nbsp;100g (2 buc x 50g)"
"Sare de ocna fina 6KG Bioenergie","149.36","instock","www.natur.ro/A1C304C5-DFA1-4BAD-A4D6-C5CFF8C9E4B4.html","https://www.natur.ro/ImaginiProduse/a1c304c5-dfa1-4bad-a4d6-c5cff8c9e4b4/URSALZfein6kgEimer_88c0bea3-66af-4735-9947-c1c1e9c027f2.jpg","Sare de ocna fina 6KG BioenergieSare de ocna Bioenergie din inima Germaniei, fina, naturala,&nbsp;neiodata,&nbsp;nerafinata.Sare de roca din Marea Primordiala, provenita din cele mai vechi mine de sare din Germania.&nbsp;Aceasta sare naturala s-a format in urma cu peste 200 de milioane de ani, prin evaporarea Marii Primordiale, si este pastrata, protejata de poluarea actuala, la o adancime de 400-750m sub suprafata pamantului.&nbsp;Sarea este extrasa prin metode traditionale de minerit si apoi macinata bland, in mori speciale, pastrandu-si compozitia naturala, originala.*Acest produs este supus unui control permanent realizat de chimisti independenti in domeniul alimentar si corespunde criteriilor&nbsp;Codex Alimentarius&nbsp;pentru sarea alimentara.Sarea de ocna Bioenergie poate varia in culoare, in mod natural.Ingrediente:&nbsp;Sare de ocna, neiodata.Sugestie de folosire:&nbsp;Sarea de ocna este recomandata pentru gatit si condimentarea tuturor preparatelor, avand un gust fin care accentueaza armonios aroma naturala a mancarurilor.Conditii de pastrare:&nbsp;A se pastra uscat si inchis ermetic.Tara de origine:&nbsp;GermaniaAmbalata in:&nbsp;AustriaGramaj:&nbsp;6KG"
"Sare de ocna grunjoasa 6KG Bioenergie","154.54","instock","www.natur.ro/71800F1D-21DE-4225-B44A-2CF8984B2CA8.html","https://www.natur.ro/ImaginiProduse/71800f1d-21de-4225-b44a-2cf8984b2ca8/URSALZgrob6kgEimer_03d78ba6-e4a0-4ae3-b979-5d2dc941d70d.jpg","Sare de ocna grunjoasa 6KG BioenergieSare de ocna Bioenergie din inima Germaniei, grunjoasa, naturala,&nbsp;neiodata,&nbsp;nerafinata.Sare de roca din Marea Primordiala, provenita din cele mai vechi mine de sare din Germania.&nbsp;Aceasta sare naturala s-a format in urma cu peste 200 de milioane de ani, prin evaporarea Marii Primordiale, si este pastrata, protejata de poluarea actuala, la o adancime de 400-750m sub suprafata pamantului.&nbsp;Sarea este extrasa prin metode traditionale de minerit si apoi macinata bland, in mori speciale, pastrandu-si compozitia naturala, originala.*Acest produs este supus unui control permanent realizat de chimisti independenti in domeniul alimentar si corespunde criteriilor&nbsp;Codex Alimentarius&nbsp;pentru sarea alimentara.Sarea de ocna Bioenergie poate varia in culoare, in mod natural.Granulatie mare &ndash; potrivita pentru rasnite de sare.Ingrediente:&nbsp;Sare de ocna, neiodata.Sugestie de folosire:&nbsp;Sarea de ocna este recomandata pentru gatit si condimentarea tuturor preparatelor, avand un gust fin care accentueaza armonios aroma naturala a mancarurilor.Conditii de pastrare:&nbsp;A se pastra uscat si inchis ermetic.Tara de origine:&nbsp;GermaniaAmbalata in:&nbsp;AustriaGramaj:&nbsp;6KG"
"Sare de mare fina 500g Morel et Le Chantoux","29.27","instock","www.natur.ro/0A8FDD18-51CC-4AB8-997D-79DE11E4D165.html","https://www.natur.ro/ImaginiProduse/0a8fdd18-51cc-4ab8-997d-79de11e4d165/3760012409952_0e023a20-25a5-4af8-9c75-3bd45fac8ad4.jpg","Sare de Guerande (celtica) fina 500g Morel et Le ChantouxSare de mare gri - de masaAceasta sare fina de masa din Guerande&nbsp;este rezultatul delicat al soarelui, vantului si metodelor ancestrale de minerit.Sarea de Guerande fina este uscata in cuptorul alimentat cu energie solara, ceea ce permite pastrarea oligoelementelor si cristalelor de sare inainte de macinare si, de asemenea, reducerea amprentei de carbon. Sarea ramane naturala si nu sufera nicio modificare chimica.&nbsp;Ingrediente:&nbsp;100% sare de mare IGP&nbsp;uscata&nbsp;&nbsp;Conditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros.&nbsp;Certificare IGP (Indicatie Geografica Protejata)Fabricat in FrantaGramaj:&nbsp;500g"
"Sare de mare fina 180g Morel et Le Chantoux","24.57","instock","www.natur.ro/826EC13A-BFBE-4D3C-8429-AB0BC8AC7D6B.html","https://www.natur.ro/ImaginiProduse/826ec13a-bfbe-4d3c-8429-ab0bc8ac7d6b/3760012409983_73780775-cd4b-4ec0-9dfc-8cca09dbaebb.jpg","Sare de Guerande (celtica) fina 180g Morel et Le ChantouxSare de mare gri - de masaAceasta sare fina de masa din Guerande&nbsp;este rezultatul delicat al soarelui, vantului si metodelor ancestrale de minerit.Sarea de Guerande fina este uscata in cuptorul alimentat cu energie solara, ceea ce permite pastrarea oligoelementelor si cristalelor de sare inainte de macinare si, de asemenea, reducerea amprentei de carbon. Sarea ramane naturala si nu sufera nicio modificare chimica - intr-un ambalaj 100% compostabil (solnita din carton reciclabil cu capac compostabil din amidon de porumb).Ingrediente:&nbsp;100% sare de mare IGP finaConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros.&nbsp;Certificare IGP (Indicatie Geografica Protejata)Fabricat in FrantaGramaj:&nbsp;180g"
"Sare de mare cristale mari 500g Morel et Le Chantoux","20.35","instock","www.natur.ro/F4878971-0B6F-4319-AAD1-7BB58814722A.html","https://www.natur.ro/ImaginiProduse/f4878971-0b6f-4319-aad1-7bb58814722a/3760012400577_1ec70498-2ca8-42cd-94a9-43a27d9107de.jpg","Sare de Guerande (celtica) cristale mari 500g Morel et Le ChantouxAceasta sare de masa din Guerande&nbsp;este rezultatul delicat al soarelui, vantului si metodelor ancestrale de minerit.Sarea de Guerande este uscata in cuptorul alimentat cu energie solara, ceea ce permite pastrarea oligoelementelor si, de asemenea, reducerea amprentei de carbon. Sarea ramane naturala si nu sufera nicio modificare chimica.Aceste cristale mari de sare Guerande, recoltate manual prin metode ancestrale, sunt special selectate pentru a permite un dozaj ideal pentru gatire.Sugestie de folosire:&nbsp;Cateva cristale sunt suficiente pentru a sara apa pentru prepararea orezului, pastelor, supelor si fructelor de mare.Ingrediente:&nbsp;100% sare de mare IGP uscataConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros.&nbsp;Certificare IGP (Indicatie Geografica Protejata)Fabricat in FrantaGramaj:&nbsp;500g"
"Sare (flori) de mare 250g Morel et Le Chantoux","62.28","instock","www.natur.ro/A1AC630E-3A44-4B05-93D0-198377A7CAD8.html","https://www.natur.ro/ImaginiProduse/a1ac630e-3a44-4b05-93d0-198377a7cad8/3760012400126_97de6457-39e8-4482-94e7-fdb46a17f768.jpg","Sare - flori de Guerande (celtica) 250g Morel et Le Chantoux&nbsp;Sarea (flori) de Guerande recoltata delicat in fiecare vara de la suprafata apei, cu mare grija si precizie, este realizata din cristale fine de sare alba si reprezinta o productie limitata.&nbsp;Vantul de Vest format de vanturile oceanice, incarcat cu stopi de apa de mare, contribuie la o granulometrie mai pronuntata si cristale de sare mai crocante.&nbsp;Sarea de Guerande&nbsp;este conservata pura si naturala pentru a-si mentine structura si mineralele (oligoelementele).Aceasta sare de masa de renume mondial este apreciata&nbsp;de bucatari si gurmanzi. Presarati aceasta sare de Guerande delicata si&nbsp;crocanta pe preparatele gatite&nbsp;si descoperiti-i subtilitatea aromei.Ingrediente:&nbsp;100% sare de mare IGP&nbsp;Conditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros.&nbsp;Certificare IGP (Indicatie Geografica Protejata)Fabricat in FrantaGramaj:&nbsp;250g"
